labels,timestamp,value
{},1709725359,554655665.2666667
{},1709725360,554655665.2666667
{},1709725361,554655665.2666667
{},1709725362,554655665.2666667
{},1709725363,554655665.2666667
{},1709725364,554655665.2666667
{},1709725365,554655665.2666667
{},1709725366,554655665.2666667
{},1709725367,554655665.2666667
{},1709725368,554655665.2666667
{},1709725369,554655665.2666667
{},1709725370,554655665.2666667
{},1709725371,554655665.2666667
{},1709725372,554655665.2666667
{},1709725373,554655665.2666667
{},1709725374,554655665.2666667
{},1709725375,554655665.2666667
{},1709725376,554655665.2666667
{},1709725377,554655665.2666667
{},1709725378,554655665.2666667
{},1709725379,554655665.2666667
{},1709725380,554655665.2666667
{},1709725381,554655665.2666667
{},1709725382,554655665.2666667
{},1709725383,554655665.2666667
{},1709725384,282922636.53333336
{},1709725385,282922636.53333336
{},1709725386,282922636.53333336
{},1709725387,282922636.53333336
{},1709725388,282922636.53333336
{},1709725389,282922636.53333336
{},1709725390,282922636.53333336
{},1709725391,282922636.53333336
{},1709725392,282922636.53333336
{},1709725393,282922636.53333336
{},1709725394,282922636.53333336
{},1709725395,282922636.53333336
{},1709725396,282922636.53333336
{},1709725397,282922636.53333336
{},1709725398,282922636.53333336
{},1709725399,282922636.53333336
{},1709725400,282922636.53333336
{},1709725401,282922636.53333336
{},1709725402,282922636.53333336
{},1709725403,282922636.53333336
{},1709725404,282922636.53333336
{},1709725405,282922636.53333336
{},1709725406,282922636.53333336
{},1709725407,282922636.53333336
{},1709725408,282922636.53333336
{},1709725409,282922636.53333336
{},1709725410,282922636.53333336
{},1709725411,282922636.53333336
{},1709725412,282922636.53333336
{},1709725413,282922636.53333336
{},1709725414,361833977.3666667
{},1709725415,361833977.3666667
{},1709725416,361833977.3666667
{},1709725417,361833977.3666667
{},1709725418,361833977.3666667
{},1709725419,361833977.3666667
{},1709725420,361833977.3666667
{},1709725421,361833977.3666667
{},1709725422,361833977.3666667
{},1709725423,361833977.3666667
{},1709725424,361833977.3666667
{},1709725425,361833977.3666667
{},1709725426,361833977.3666667
{},1709725427,361833977.3666667
{},1709725428,361833977.3666667
{},1709725429,361833977.3666667
{},1709725430,361833977.3666667
{},1709725431,361833977.3666667
