labels,timestamp,value
{},1709724081,2570049057.7999997
{},1709724082,2570049057.7999997
{},1709724083,2570049057.7999997
{},1709724084,2570049057.7999997
{},1709724085,2570049057.7999997
{},1709724086,2570049057.7999997
{},1709724087,2570049057.7999997
{},1709724088,2570049057.7999997
{},1709724089,2570049057.7999997
{},1709724090,2570049057.7999997
{},1709724091,2570049057.7999997
{},1709724092,2570049057.7999997
{},1709724093,1937468670.9
{},1709724094,1937468670.9
{},1709724095,1937468670.9
{},1709724096,1937468670.9
{},1709724097,1937468670.9
{},1709724098,1937468670.9
{},1709724099,1937468670.9
{},1709724100,1937468670.9
{},1709724101,1937468670.9
{},1709724102,1937468670.9
{},1709724103,1937468670.9
{},1709724104,1937468670.9
{},1709724105,1937468670.9
{},1709724106,1937468670.9
{},1709724107,1937468670.9
{},1709724108,1937468670.9
{},1709724109,1937468670.9
{},1709724110,1937468670.9
{},1709724111,1937468670.9
{},1709724112,1937468670.9
{},1709724113,1937468670.9
{},1709724114,1937468670.9
{},1709724115,1937468670.9
{},1709724116,1937468670.9
{},1709724117,1937468670.9
{},1709724118,1937468670.9
{},1709724119,1937468670.9
{},1709724120,1937468670.9
{},1709724121,1937468670.9
{},1709724122,1937468670.9
{},1709724123,884436031.567719
{},1709724124,884436031.567719
{},1709724125,884436031.567719
{},1709724126,884436031.567719
{},1709724127,884436031.567719
{},1709724128,884436031.567719
{},1709724129,884436031.567719
{},1709724130,884436031.567719
{},1709724131,884436031.567719
{},1709724132,884436031.567719
{},1709724133,884436031.567719
{},1709724134,884436031.567719
{},1709724135,884436031.567719
{},1709724136,884436031.567719
{},1709724137,884436031.567719
{},1709724138,884436031.567719
{},1709724139,884436031.567719
{},1709724140,884436031.567719
{},1709724141,884436031.567719
{},1709724142,884436031.567719
{},1709724143,884436031.567719
{},1709724144,884436031.567719
{},1709724145,884436031.567719
{},1709724146,884436031.567719
{},1709724147,884436031.567719
{},1709724148,884436031.567719
{},1709724149,884436031.567719
{},1709724150,884436031.567719
{},1709724151,884436031.567719
{},1709724152,884436031.567719
{},1709724153,1601320519.1
{},1709724154,1601320519.1
{},1709724155,1601320519.1
{},1709724156,1601320519.1
