labels,timestamp,value
{},1709724081,530143322.1333333
{},1709724082,530143322.1333333
{},1709724083,530143322.1333333
{},1709724084,530143322.1333333
{},1709724085,530143322.1333333
{},1709724086,530143322.1333333
{},1709724087,530143322.1333333
{},1709724088,530143322.1333333
{},1709724089,530143322.1333333
{},1709724090,530143322.1333333
{},1709724091,530143322.1333333
{},1709724092,530143322.1333333
{},1709724093,417724069.8333333
{},1709724094,417724069.8333333
{},1709724095,417724069.8333333
{},1709724096,417724069.8333333
{},1709724097,417724069.8333333
{},1709724098,417724069.8333333
{},1709724099,417724069.8333333
{},1709724100,417724069.8333333
{},1709724101,417724069.8333333
{},1709724102,417724069.8333333
{},1709724103,417724069.8333333
{},1709724104,417724069.8333333
{},1709724105,417724069.8333333
{},1709724106,417724069.8333333
{},1709724107,417724069.8333333
{},1709724108,417724069.8333333
{},1709724109,417724069.8333333
{},1709724110,417724069.8333333
{},1709724111,417724069.8333333
{},1709724112,417724069.8333333
{},1709724113,417724069.8333333
{},1709724114,417724069.8333333
{},1709724115,417724069.8333333
{},1709724116,417724069.8333333
{},1709724117,417724069.8333333
{},1709724118,417724069.8333333
{},1709724119,417724069.8333333
{},1709724120,417724069.8333333
{},1709724121,417724069.8333333
{},1709724122,417724069.8333333
{},1709724123,429698957.2319077
{},1709724124,429698957.2319077
{},1709724125,429698957.2319077
{},1709724126,429698957.2319077
{},1709724127,429698957.2319077
{},1709724128,429698957.2319077
{},1709724129,429698957.2319077
{},1709724130,429698957.2319077
{},1709724131,429698957.2319077
{},1709724132,429698957.2319077
{},1709724133,429698957.2319077
{},1709724134,429698957.2319077
{},1709724135,429698957.2319077
{},1709724136,429698957.2319077
{},1709724137,429698957.2319077
{},1709724138,429698957.2319077
{},1709724139,429698957.2319077
{},1709724140,429698957.2319077
{},1709724141,429698957.2319077
{},1709724142,429698957.2319077
{},1709724143,429698957.2319077
{},1709724144,429698957.2319077
{},1709724145,429698957.2319077
{},1709724146,429698957.2319077
{},1709724147,429698957.2319077
{},1709724148,429698957.2319077
{},1709724149,429698957.2319077
{},1709724150,429698957.2319077
{},1709724151,429698957.2319077
{},1709724152,429698957.2319077
{},1709724153,310875296.5
{},1709724154,310875296.5
{},1709724155,310875296.5
{},1709724156,310875296.5
{},1709724157,310875296.5
{},1709724158,310875296.5
{},1709724159,310875296.5
{},1709724160,310875296.5
{},1709724161,310875296.5
{},1709724162,310875296.5
{},1709724163,310875296.5
{},1709724164,310875296.5
{},1709724165,310875296.5
{},1709724166,310875296.5
{},1709724167,310875296.5
{},1709724168,310875296.5
{},1709724169,310875296.5
{},1709724170,310875296.5
{},1709724171,310875296.5
{},1709724172,310875296.5
{},1709724173,310875296.5
{},1709724174,310875296.5
{},1709724175,310875296.5
{},1709724176,310875296.5
{},1709724177,310875296.5
{},1709724178,310875296.5
{},1709724179,310875296.5
{},1709724180,310875296.5
{},1709724181,310875296.5
{},1709724182,310875296.5
{},1709724183,379329247.5584147
{},1709724184,379329247.5584147
{},1709724185,379329247.5584147
{},1709724186,379329247.5584147
{},1709724187,379329247.5584147
{},1709724188,379329247.5584147
{},1709724189,379329247.5584147
{},1709724190,379329247.5584147
{},1709724191,379329247.5584147
{},1709724192,379329247.5584147
{},1709724193,379329247.5584147
{},1709724194,379329247.5584147
{},1709724195,379329247.5584147
{},1709724196,379329247.5584147
{},1709724197,379329247.5584147
{},1709724198,379329247.5584147
{},1709724199,379329247.5584147
{},1709724200,379329247.5584147
{},1709724201,379329247.5584147
{},1709724202,379329247.5584147
{},1709724203,379329247.5584147
{},1709724204,379329247.5584147
{},1709724205,379329247.5584147
{},1709724206,379329247.5584147
{},1709724207,379329247.5584147
{},1709724208,379329247.5584147
{},1709724209,379329247.5584147
{},1709724210,379329247.5584147
{},1709724211,379329247.5584147
{},1709724212,379329247.5584147
{},1709724213,378915105.9
{},1709724214,378915105.9
{},1709724215,378915105.9
{},1709724216,378915105.9
{},1709724217,378915105.9
{},1709724218,378915105.9
{},1709724219,378915105.9
