labels,timestamp,value
{},1709724081,151.2
{},1709724082,151.2
{},1709724083,151.2
{},1709724084,151.2
{},1709724085,151.2
{},1709724086,151.2
{},1709724087,151.2
{},1709724088,151.2
{},1709724089,151.2
{},1709724090,151.2
{},1709724091,151.2
{},1709724092,151.2
{},1709724093,139.4
{},1709724094,139.4
{},1709724095,139.4
{},1709724096,139.4
{},1709724097,139.4
{},1709724098,139.4
{},1709724099,139.4
{},1709724100,139.4
{},1709724101,139.4
{},1709724102,139.4
{},1709724103,139.4
{},1709724104,139.4
{},1709724105,139.4
{},1709724106,139.4
{},1709724107,139.4
{},1709724108,139.4
{},1709724109,139.4
{},1709724110,139.4
{},1709724111,139.4
{},1709724112,139.4
{},1709724113,139.4
{},1709724114,139.4
{},1709724115,139.4
{},1709724116,139.4
{},1709724117,139.4
{},1709724118,139.4
{},1709724119,139.4
{},1709724120,139.4
{},1709724121,139.4
{},1709724122,139.4
{},1709724123,132.80442681422716
{},1709724124,132.80442681422716
{},1709724125,132.80442681422716
{},1709724126,132.80442681422716
{},1709724127,132.80442681422716
{},1709724128,132.80442681422716
{},1709724129,132.80442681422716
{},1709724130,132.80442681422716
{},1709724131,132.80442681422716
{},1709724132,132.80442681422716
{},1709724133,132.80442681422716
{},1709724134,132.80442681422716
{},1709724135,132.80442681422716
{},1709724136,132.80442681422716
{},1709724137,132.80442681422716
{},1709724138,132.80442681422716
{},1709724139,132.80442681422716
{},1709724140,132.80442681422716
{},1709724141,132.80442681422716
{},1709724142,132.80442681422716
{},1709724143,132.80442681422716
{},1709724144,132.80442681422716
{},1709724145,132.80442681422716
{},1709724146,132.80442681422716
{},1709724147,132.80442681422716
{},1709724148,132.80442681422716
{},1709724149,132.80442681422716
{},1709724150,132.80442681422716
{},1709724151,132.80442681422716
{},1709724152,132.80442681422716
{},1709724153,135.3
{},1709724154,135.3
{},1709724155,135.3
{},1709724156,135.3
{},1709724157,135.3
{},1709724158,135.3
{},1709724159,135.3
{},1709724160,135.3
{},1709724161,135.3
{},1709724162,135.3
{},1709724163,135.3
{},1709724164,135.3
{},1709724165,135.3
{},1709724166,135.3
{},1709724167,135.3
{},1709724168,135.3
{},1709724169,135.3
{},1709724170,135.3
{},1709724171,135.3
{},1709724172,135.3
{},1709724173,135.3
{},1709724174,135.3
{},1709724175,135.3
{},1709724176,135.3
{},1709724177,135.3
{},1709724178,135.3
{},1709724179,135.3
{},1709724180,135.3
{},1709724181,135.3
{},1709724182,135.3
{},1709724183,134.39552014932835
{},1709724184,134.39552014932835
{},1709724185,134.39552014932835
{},1709724186,134.39552014932835
{},1709724187,134.39552014932835
{},1709724188,134.39552014932835
{},1709724189,134.39552014932835
{},1709724190,134.39552014932835
{},1709724191,134.39552014932835
{},1709724192,134.39552014932835
{},1709724193,134.39552014932835
{},1709724194,134.39552014932835
{},1709724195,134.39552014932835
{},1709724196,134.39552014932835
{},1709724197,134.39552014932835
{},1709724198,134.39552014932835
{},1709724199,134.39552014932835
{},1709724200,134.39552014932835
{},1709724201,134.39552014932835
{},1709724202,134.39552014932835
{},1709724203,134.39552014932835
{},1709724204,134.39552014932835
{},1709724205,134.39552014932835
{},1709724206,134.39552014932835
{},1709724207,134.39552014932835
{},1709724208,134.39552014932835
{},1709724209,134.39552014932835
{},1709724210,134.39552014932835
{},1709724211,134.39552014932835
{},1709724212,134.39552014932835
{},1709724213,129.7
{},1709724214,129.7
{},1709724215,129.7
{},1709724216,129.7
{},1709724217,129.7
{},1709724218,129.7
{},1709724219,129.7
{},1709724220,129.7
{},1709724221,129.7
{},1709724222,129.7
{},1709724223,129.7
{},1709724224,129.7
{},1709724225,129.7
{},1709724226,129.7
{},1709724227,129.7
{},1709724228,129.7
{},1709724229,129.7
{},1709724230,129.7
{},1709724231,129.7
{},1709724232,129.7
{},1709724233,129.7
{},1709724234,129.7
{},1709724235,129.7
{},1709724236,129.7
{},1709724237,129.7
{},1709724238,129.7
{},1709724239,129.7
{},1709724240,129.7
{},1709724241,129.7
{},1709724242,129.7
{},1709724243,145.40484682822762
{},1709724244,145.40484682822762
{},1709724245,145.40484682822762
{},1709724246,145.40484682822762
{},1709724247,145.40484682822762
{},1709724248,145.40484682822762
