labels,timestamp,value
{},1709717463,468987203.5666666
{},1709717464,468987203.5666666
{},1709717465,468987203.5666666
{},1709717466,468987203.5666666
{},1709717467,468987203.5666666
{},1709717468,468987203.5666666
{},1709717469,468987203.5666666
{},1709717470,468987203.5666666
{},1709717471,468987203.5666666
{},1709717472,468987203.5666666
{},1709717473,468987203.5666666
{},1709717474,468987203.5666666
{},1709717475,468987203.5666666
{},1709717476,468987203.5666666
{},1709717477,468987203.5666666
{},1709717478,468987203.5666666
{},1709717479,468987203.5666666
{},1709717480,468987203.5666666
{},1709717481,468987203.5666666
{},1709717482,468987203.5666666
{},1709717483,468987203.5666666
{},1709717484,468987203.5666666
{},1709717485,468987203.5666666
{},1709717486,468987203.5666666
{},1709717487,468987203.5666666
{},1709717488,468987203.5666666
{},1709717489,468987203.5666666
{},1709717490,468987203.5666666
{},1709717491,468987203.5666666
{},1709717492,468987203.5666666
{},1709717493,17387864402.36667
{},1709717494,17387864402.36667
{},1709717495,17387864402.36667
{},1709717496,17387864402.36667
{},1709717497,17387864402.36667
{},1709717498,17387864402.36667
{},1709717499,17387864402.36667
{},1709717500,17387864402.36667
{},1709717501,17387864402.36667
{},1709717502,17387864402.36667
{},1709717503,17387864402.36667
{},1709717504,17387864402.36667
{},1709717505,17387864402.36667
{},1709717506,17387864402.36667
{},1709717507,17387864402.36667
{},1709717508,17387864402.36667
{},1709717509,17387864402.36667
{},1709717510,17387864402.36667
{},1709717511,17387864402.36667
{},1709717512,17387864402.36667
{},1709717513,17387864402.36667
{},1709717514,17387864402.36667
{},1709717515,17387864402.36667
{},1709717516,17387864402.36667
{},1709717517,17387864402.36667
{},1709717518,17387864402.36667
{},1709717519,17387864402.36667
{},1709717520,17387864402.36667
{},1709717521,17387864402.36667
{},1709717522,17387864402.36667
{},1709717523,16176524000.033333
{},1709717524,16176524000.033333
{},1709717525,16176524000.033333
{},1709717526,16176524000.033333
{},1709717527,16176524000.033333
{},1709717528,16176524000.033333
{},1709717529,16176524000.033333
{},1709717530,16176524000.033333
{},1709717531,16176524000.033333
{},1709717532,16176524000.033333
{},1709717533,16176524000.033333
{},1709717534,16176524000.033333
{},1709717535,16176524000.033333
{},1709717536,16176524000.033333
{},1709717537,16176524000.033333
{},1709717538,16176524000.033333
{},1709717539,16176524000.033333
{},1709717540,16176524000.033333
{},1709717541,16176524000.033333
{},1709717542,16176524000.033333
{},1709717543,16176524000.033333
{},1709717544,16176524000.033333
{},1709717545,16176524000.033333
{},1709717546,16176524000.033333
{},1709717547,16176524000.033333
{},1709717548,16176524000.033333
{},1709717549,16176524000.033333
{},1709717550,16176524000.033333
{},1709717551,16176524000.033333
{},1709717552,16176524000.033333
{},1709717553,16017083283.4
{},1709717554,16017083283.4
{},1709717555,16017083283.4
{},1709717556,16017083283.4
{},1709717557,16017083283.4
{},1709717558,16017083283.4
{},1709717559,16017083283.4
{},1709717560,16017083283.4
{},1709717561,16017083283.4
{},1709717562,16017083283.4
{},1709717563,16017083283.4
{},1709717564,16017083283.4
{},1709717565,16017083283.4
{},1709717566,16017083283.4
{},1709717567,16017083283.4
{},1709717568,16017083283.4
{},1709717569,16017083283.4
{},1709717570,16017083283.4
{},1709717571,16017083283.4
{},1709717572,16017083283.4
{},1709717573,16017083283.4
{},1709717574,16017083283.4
{},1709717575,16017083283.4
{},1709717576,16017083283.4
{},1709717577,16017083283.4
{},1709717578,16017083283.4
{},1709717579,16017083283.4
{},1709717580,16017083283.4
{},1709717581,16017083283.4
{},1709717582,16017083283.4
{},1709717583,15906510118.966667
{},1709717584,15906510118.966667
{},1709717585,15906510118.966667
{},1709717586,15906510118.966667
{},1709717587,15906510118.966667
{},1709717588,15906510118.966667
{},1709717589,15906510118.966667
{},1709717590,15906510118.966667
{},1709717591,15906510118.966667
{},1709717592,15906510118.966667
{},1709717593,15906510118.966667
{},1709717594,15906510118.966667
{},1709717595,15906510118.966667
{},1709717596,15906510118.966667
{},1709717597,15906510118.966667
{},1709717598,15906510118.966667
{},1709717599,15906510118.966667
{},1709717600,15906510118.966667
{},1709717601,15906510118.966667
{},1709717602,15906510118.966667
{},1709717603,15906510118.966667
{},1709717604,15906510118.966667
{},1709717605,15906510118.966667
{},1709717606,15906510118.966667
{},1709717607,15906510118.966667
{},1709717608,15906510118.966667
{},1709717609,15906510118.966667
{},1709717610,15906510118.966667
{},1709717611,15906510118.966667
{},1709717612,15906510118.966667
{},1709717613,15884891811.733334
{},1709717614,15884891811.733334
{},1709717615,15884891811.733334
{},1709717616,15884891811.733334
{},1709717617,15884891811.733334
{},1709717618,15884891811.733334
{},1709717619,15884891811.733334
{},1709717620,15884891811.733334
{},1709717621,15884891811.733334
{},1709717622,15884891811.733334
{},1709717623,15884891811.733334
{},1709717624,15884891811.733334
{},1709717625,15884891811.733334
{},1709717626,15884891811.733334
{},1709717627,15884891811.733334
{},1709717628,15884891811.733334
{},1709717629,15884891811.733334
{},1709717630,15884891811.733334
{},1709717631,15884891811.733334
{},1709717632,15884891811.733334
{},1709717633,15884891811.733334
{},1709717634,15884891811.733334
{},1709717635,15884891811.733334
{},1709717636,15884891811.733334
{},1709717637,15884891811.733334
{},1709717638,15884891811.733334
{},1709717639,15884891811.733334
{},1709717640,15884891811.733334
{},1709717641,15884891811.733334
{},1709717642,15884891811.733334
{},1709717643,15899613808.366665
{},1709717644,15899613808.366665
{},1709717645,15899613808.366665
{},1709717646,15899613808.366665
{},1709717647,15899613808.366665
{},1709717648,15899613808.366665
{},1709717649,15899613808.366665
{},1709717650,15899613808.366665
{},1709717651,15899613808.366665
{},1709717652,15899613808.366665
{},1709717653,15899613808.366665
{},1709717654,15899613808.366665
{},1709717655,15899613808.366665
{},1709717656,15899613808.366665
{},1709717657,15899613808.366665
{},1709717658,15899613808.366665
{},1709717659,15899613808.366665
{},1709717660,15899613808.366665
{},1709717661,15899613808.366665
{},1709717662,15899613808.366665
{},1709717663,15899613808.366665
{},1709717664,15899613808.366665
{},1709717665,15899613808.366665
