labels,timestamp,value
{},1709717463,132.7
{},1709717464,132.7
{},1709717465,132.7
{},1709717466,132.7
{},1709717467,132.7
{},1709717468,132.7
{},1709717469,132.7
{},1709717470,132.7
{},1709717471,132.7
{},1709717472,132.7
{},1709717473,132.7
{},1709717474,132.7
{},1709717475,132.7
{},1709717476,132.7
{},1709717477,132.7
{},1709717478,132.7
{},1709717479,132.7
{},1709717480,132.7
{},1709717481,132.7
{},1709717482,132.7
{},1709717483,132.7
{},1709717484,132.7
{},1709717485,132.7
{},1709717486,132.7
{},1709717487,132.7
{},1709717488,132.7
{},1709717489,132.7
{},1709717490,132.7
{},1709717491,132.7
{},1709717492,132.7
{},1709717493,256.5
{},1709717494,256.5
{},1709717495,256.5
{},1709717496,256.5
{},1709717497,256.5
{},1709717498,256.5
{},1709717499,256.5
{},1709717500,256.5
{},1709717501,256.5
{},1709717502,256.5
{},1709717503,256.5
{},1709717504,256.5
{},1709717505,256.5
{},1709717506,256.5
{},1709717507,256.5
{},1709717508,256.5
{},1709717509,256.5
{},1709717510,256.5
{},1709717511,256.5
{},1709717512,256.5
{},1709717513,256.5
{},1709717514,256.5
{},1709717515,256.5
{},1709717516,256.5
{},1709717517,256.5
{},1709717518,256.5
{},1709717519,256.5
{},1709717520,256.5
{},1709717521,256.5
{},1709717522,256.5
{},1709717523,282.7
{},1709717524,282.7
{},1709717525,282.7
{},1709717526,282.7
{},1709717527,282.7
{},1709717528,282.7
{},1709717529,282.7
{},1709717530,282.7
{},1709717531,282.7
{},1709717532,282.7
{},1709717533,282.7
{},1709717534,282.7
{},1709717535,282.7
{},1709717536,282.7
{},1709717537,282.7
{},1709717538,282.7
{},1709717539,282.7
{},1709717540,282.7
{},1709717541,282.7
{},1709717542,282.7
{},1709717543,282.7
{},1709717544,282.7
{},1709717545,282.7
{},1709717546,282.7
{},1709717547,282.7
{},1709717548,282.7
{},1709717549,282.7
{},1709717550,282.7
{},1709717551,282.7
{},1709717552,282.7
{},1709717553,280.6
{},1709717554,280.6
{},1709717555,280.6
{},1709717556,280.6
{},1709717557,280.6
{},1709717558,280.6
{},1709717559,280.6
{},1709717560,280.6
{},1709717561,280.6
{},1709717562,280.6
{},1709717563,280.6
{},1709717564,280.6
{},1709717565,280.6
{},1709717566,280.6
{},1709717567,280.6
{},1709717568,280.6
{},1709717569,280.6
{},1709717570,280.6
{},1709717571,280.6
{},1709717572,280.6
{},1709717573,280.6
{},1709717574,280.6
{},1709717575,280.6
{},1709717576,280.6
{},1709717577,280.6
{},1709717578,280.6
{},1709717579,280.6
{},1709717580,280.6
{},1709717581,280.6
{},1709717582,280.6
{},1709717583,280.4
{},1709717584,280.4
{},1709717585,280.4
{},1709717586,280.4
{},1709717587,280.4
{},1709717588,280.4
{},1709717589,280.4
{},1709717590,280.4
{},1709717591,280.4
{},1709717592,280.4
{},1709717593,280.4
{},1709717594,280.4
{},1709717595,280.4
{},1709717596,280.4
{},1709717597,280.4
{},1709717598,280.4
{},1709717599,280.4
{},1709717600,280.4
{},1709717601,280.4
{},1709717602,280.4
{},1709717603,280.4
{},1709717604,280.4
{},1709717605,280.4
{},1709717606,280.4
{},1709717607,280.4
{},1709717608,280.4
{},1709717609,280.4
{},1709717610,280.4
{},1709717611,280.4
{},1709717612,280.4
{},1709717613,280.2
{},1709717614,280.2
{},1709717615,280.2
{},1709717616,280.2
{},1709717617,280.2
{},1709717618,280.2
{},1709717619,280.2
{},1709717620,280.2
{},1709717621,280.2
{},1709717622,280.2
{},1709717623,280.2
{},1709717624,280.2
{},1709717625,280.2
{},1709717626,280.2
{},1709717627,280.2
{},1709717628,280.2
{},1709717629,280.2
{},1709717630,280.2
{},1709717631,280.2
{},1709717632,280.2
{},1709717633,280.2
{},1709717634,280.2
{},1709717635,280.2
{},1709717636,280.2
{},1709717637,280.2
{},1709717638,280.2
{},1709717639,280.2
{},1709717640,280.2
{},1709717641,280.2
{},1709717642,280.2
{},1709717643,280.2
{},1709717644,280.2
{},1709717645,280.2
{},1709717646,280.2
{},1709717647,280.2
{},1709717648,280.2
{},1709717649,280.2
{},1709717650,280.2
{},1709717651,280.2
{},1709717652,280.2
{},1709717653,280.2
{},1709717654,280.2
{},1709717655,280.2
{},1709717656,280.2
{},1709717657,280.2
{},1709717658,280.2
{},1709717659,280.2
{},1709717660,280.2
{},1709717661,280.2
{},1709717662,280.2
{},1709717663,280.2
{},1709717664,280.2
{},1709717665,280.2
{},1709717666,280.2
{},1709717667,280.2
{},1709717668,280.2
{},1709717669,280.2
{},1709717670,280.2
{},1709717671,280.2
{},1709717672,280.2
{},1709717673,279.9
{},1709717674,279.9
{},1709717675,279.9
{},1709717676,279.9
{},1709717677,279.9
{},1709717678,279.9
{},1709717679,279.9
{},1709717680,279.9
{},1709717681,279.9
{},1709717682,279.9
{},1709717683,279.9
{},1709717684,279.9
{},1709717685,279.9
{},1709717686,279.9
{},1709717687,279.9
{},1709717688,279.9
{},1709717689,279.9
{},1709717690,279.9
{},1709717691,279.9
{},1709717692,279.9
{},1709717693,279.9
{},1709717694,279.9
{},1709717695,279.9
{},1709717696,279.9
{},1709717697,279.9
{},1709717698,279.9
{},1709717699,279.9
{},1709717700,279.9
{},1709717701,279.9
{},1709717702,279.9
{},1709717703,279.8
{},1709717704,279.8
{},1709717705,279.8
{},1709717706,279.8
{},1709717707,279.8
{},1709717708,279.8
{},1709717709,279.8
{},1709717710,279.8
{},1709717711,279.8
{},1709717712,279.8
{},1709717713,279.8
{},1709717714,279.8
{},1709717715,279.8
{},1709717716,279.8
{},1709717717,279.8
{},1709717718,279.8
{},1709717719,279.8
{},1709717720,279.8
{},1709717721,279.8
{},1709717722,279.8
{},1709717723,279.8
{},1709717724,279.8
{},1709717725,279.8
{},1709717726,279.8
{},1709717727,279.8
{},1709717728,279.8
{},1709717729,279.8
{},1709717730,279.8
{},1709717731,279.8
{},1709717732,279.8
{},1709717733,279.8
{},1709717734,279.8
{},1709717735,279.8
{},1709717736,279.8
{},1709717737,279.8
{},1709717738,279.8
{},1709717739,279.8
{},1709717740,279.8
{},1709717741,279.8
{},1709717742,279.8
{},1709717743,279.8
{},1709717744,279.8
{},1709717745,279.8
{},1709717746,279.8
{},1709717747,279.8
{},1709717748,279.8
{},1709717749,279.8
{},1709717750,279.8
{},1709717751,279.8
{},1709717752,279.8
{},1709717753,279.8
{},1709717754,279.8
{},1709717755,279.8
{},1709717756,279.8
{},1709717757,279.8
{},1709717758,279.8
{},1709717759,279.8
{},1709717760,279.8
{},1709717761,279.8
{},1709717762,279.8
{},1709717763,281.5
{},1709717764,281.5
{},1709717765,281.5
{},1709717766,281.5
{},1709717767,281.5
{},1709717768,281.5
{},1709717769,281.5
{},1709717770,281.5
{},1709717771,281.5
{},1709717772,281.5
{},1709717773,281.5
{},1709717774,281.5
{},1709717775,281.5
{},1709717776,281.5
{},1709717777,281.5
{},1709717778,281.5
{},1709717779,281.5
{},1709717780,281.5
{},1709717781,281.5
{},1709717782,281.5
{},1709717783,281.5
{},1709717784,281.5
{},1709717785,281.5
{},1709717786,281.5
{},1709717787,281.5
{},1709717788,281.5
{},1709717789,281.5
{},1709717790,281.5
{},1709717791,281.5
{},1709717792,281.5
{},1709717793,280.1
{},1709717794,280.1
{},1709717795,280.1
{},1709717796,280.1
{},1709717797,280.1
{},1709717798,280.1
{},1709717799,280.1
{},1709717800,280.1
{},1709717801,280.1
{},1709717802,280.1
{},1709717803,280.1
{},1709717804,280.1
{},1709717805,280.1
{},1709717806,280.1
{},1709717807,280.1
{},1709717808,280.1
{},1709717809,280.1
{},1709717810,280.1
{},1709717811,280.1
{},1709717812,280.1
{},1709717813,280.1
{},1709717814,280.1
{},1709717815,280.1
{},1709717816,280.1
{},1709717817,280.1
{},1709717818,280.1
{},1709717819,280.1
{},1709717820,280.1
{},1709717821,280.1
{},1709717822,280.1
{},1709717823,280.7
{},1709717824,280.7
{},1709717825,280.7
{},1709717826,280.7
{},1709717827,280.7
{},1709717828,280.7
{},1709717829,280.7
{},1709717830,280.7
{},1709717831,280.7
{},1709717832,280.7
{},1709717833,280.7
{},1709717834,280.7
{},1709717835,280.7
{},1709717836,280.7
{},1709717837,280.7
{},1709717838,280.7
{},1709717839,280.7
{},1709717840,280.7
{},1709717841,280.7
{},1709717842,280.7
{},1709717843,280.7
{},1709717844,280.7
{},1709717845,280.7
{},1709717846,280.7
{},1709717847,280.7
{},1709717848,280.7
{},1709717849,280.7
{},1709717850,280.7
{},1709717851,280.7
{},1709717852,280.7
{},1709717853,280.4
{},1709717854,280.4
{},1709717855,280.4
{},1709717856,280.4
{},1709717857,280.4
{},1709717858,280.4
{},1709717859,280.4
{},1709717860,280.4
{},1709717861,280.4
{},1709717862,280.4
{},1709717863,280.4
{},1709717864,280.4
{},1709717865,280.4
{},1709717866,280.4
{},1709717867,280.4
{},1709717868,280.4
{},1709717869,280.4
{},1709717870,280.4
{},1709717871,280.4
{},1709717872,280.4
{},1709717873,280.4
{},1709717874,280.4
{},1709717875,280.4
{},1709717876,280.4
{},1709717877,280.4
{},1709717878,280.4
{},1709717879,280.4
{},1709717880,280.4
{},1709717881,280.4
{},1709717882,280.4
{},1709717883,280.50935031167705
{},1709717884,280.50935031167705
{},1709717885,280.50935031167705
{},1709717886,280.50935031167705
{},1709717887,280.50935031167705
{},1709717888,280.50935031167705
{},1709717889,280.50935031167705
{},1709717890,280.50935031167705
{},1709717891,280.50935031167705
{},1709717892,280.50935031167705
{},1709717893,280.50935031167705
{},1709717894,280.50935031167705
{},1709717895,280.50935031167705
{},1709717896,280.50935031167705
{},1709717897,280.50935031167705
{},1709717898,280.50935031167705
{},1709717899,280.50935031167705
{},1709717900,280.50935031167705
{},1709717901,280.50935031167705
{},1709717902,280.50935031167705
{},1709717903,280.50935031167705
{},1709717904,280.50935031167705
{},1709717905,280.50935031167705
{},1709717906,280.50935031167705
{},1709717907,280.50935031167705
{},1709717908,280.50935031167705
{},1709717909,280.50935031167705
{},1709717910,280.50935031167705
{},1709717911,280.50935031167705
{},1709717912,280.50935031167705
{},1709717913,939.2686910436319
{},1709717914,939.2686910436319
{},1709717915,939.2686910436319
{},1709717916,939.2686910436319
{},1709717917,939.2686910436319
{},1709717918,939.2686910436319
{},1709717919,939.2686910436319
{},1709717920,939.2686910436319
{},1709717921,939.2686910436319
{},1709717922,939.2686910436319
{},1709717923,939.2686910436319
{},1709717924,939.2686910436319
{},1709717925,939.2686910436319
{},1709717926,939.2686910436319
{},1709717927,939.2686910436319
{},1709717928,939.2686910436319
{},1709717929,939.2686910436319
{},1709717930,939.2686910436319
{},1709717931,939.2686910436319
{},1709717932,939.2686910436319
{},1709717933,939.2686910436319
