labels,timestamp,value
{},1709724081,486966359.8
{},1709724082,486966359.8
{},1709724083,486966359.8
{},1709724084,486966359.8
{},1709724085,486966359.8
{},1709724086,486966359.8
{},1709724087,486966359.8
{},1709724088,486966359.8
{},1709724089,486966359.8
{},1709724090,486966359.8
{},1709724091,486966359.8
{},1709724092,486966359.8
{},1709724093,371720494.3333333
{},1709724094,371720494.3333333
{},1709724095,371720494.3333333
{},1709724096,371720494.3333333
{},1709724097,371720494.3333333
{},1709724098,371720494.3333333
{},1709724099,371720494.3333333
{},1709724100,371720494.3333333
{},1709724101,371720494.3333333
{},1709724102,371720494.3333333
{},1709724103,371720494.3333333
{},1709724104,371720494.3333333
{},1709724105,371720494.3333333
{},1709724106,371720494.3333333
{},1709724107,371720494.3333333
{},1709724108,371720494.3333333
{},1709724109,371720494.3333333
{},1709724110,371720494.3333333
{},1709724111,371720494.3333333
{},1709724112,371720494.3333333
{},1709724113,371720494.3333333
{},1709724114,371720494.3333333
{},1709724115,371720494.3333333
{},1709724116,371720494.3333333
{},1709724117,371720494.3333333
{},1709724118,371720494.3333333
{},1709724119,371720494.3333333
{},1709724120,371720494.3333333
{},1709724121,371720494.3333333
{},1709724122,371720494.3333333
{},1709724123,242159654.65515518
{},1709724124,242159654.65515518
{},1709724125,242159654.65515518
{},1709724126,242159654.65515518
{},1709724127,242159654.65515518
{},1709724128,242159654.65515518
{},1709724129,242159654.65515518
{},1709724130,242159654.65515518
{},1709724131,242159654.65515518
{},1709724132,242159654.65515518
{},1709724133,242159654.65515518
{},1709724134,242159654.65515518
{},1709724135,242159654.65515518
{},1709724136,242159654.65515518
{},1709724137,242159654.65515518
{},1709724138,242159654.65515518
{},1709724139,242159654.65515518
{},1709724140,242159654.65515518
{},1709724141,242159654.65515518
{},1709724142,242159654.65515518
{},1709724143,242159654.65515518
{},1709724144,242159654.65515518
{},1709724145,242159654.65515518
{},1709724146,242159654.65515518
{},1709724147,242159654.65515518
{},1709724148,242159654.65515518
{},1709724149,242159654.65515518
{},1709724150,242159654.65515518
{},1709724151,242159654.65515518
{},1709724152,242159654.65515518
{},1709724153,343149461.7
{},1709724154,343149461.7
{},1709724155,343149461.7
{},1709724156,343149461.7
{},1709724157,343149461.7
{},1709724158,343149461.7
{},1709724159,343149461.7
{},1709724160,343149461.7
{},1709724161,343149461.7
{},1709724162,343149461.7
{},1709724163,343149461.7
{},1709724164,343149461.7
{},1709724165,343149461.7
{},1709724166,343149461.7
{},1709724167,343149461.7
{},1709724168,343149461.7
{},1709724169,343149461.7
{},1709724170,343149461.7
{},1709724171,343149461.7
{},1709724172,343149461.7
{},1709724173,343149461.7
{},1709724174,343149461.7
{},1709724175,343149461.7
{},1709724176,343149461.7
{},1709724177,343149461.7
{},1709724178,343149461.7
{},1709724179,343149461.7
{},1709724180,343149461.7
{},1709724181,343149461.7
{},1709724182,343149461.7
{},1709724183,374193052.46491784
{},1709724184,374193052.46491784
{},1709724185,374193052.46491784
{},1709724186,374193052.46491784
{},1709724187,374193052.46491784
{},1709724188,374193052.46491784
{},1709724189,374193052.46491784
{},1709724190,374193052.46491784
{},1709724191,374193052.46491784
{},1709724192,374193052.46491784
{},1709724193,374193052.46491784
{},1709724194,374193052.46491784
{},1709724195,374193052.46491784
{},1709724196,374193052.46491784
{},1709724197,374193052.46491784
{},1709724198,374193052.46491784
{},1709724199,374193052.46491784
{},1709724200,374193052.46491784
{},1709724201,374193052.46491784
{},1709724202,374193052.46491784
{},1709724203,374193052.46491784
{},1709724204,374193052.46491784
