labels,timestamp,value
{},1709722806,539869400.0333333
{},1709722807,539869400.0333333
{},1709722808,539869400.0333333
{},1709722809,539869400.0333333
{},1709722810,539869400.0333333
{},1709722811,539869400.0333333
{},1709722812,539869400.0333333
{},1709722813,539869400.0333333
{},1709722814,539869400.0333333
{},1709722815,539869400.0333333
{},1709722816,539869400.0333333
{},1709722817,539869400.0333333
{},1709722818,539869400.0333333
{},1709722819,539869400.0333333
{},1709722820,539869400.0333333
{},1709722821,539869400.0333333
{},1709722822,539869400.0333333
{},1709722823,539869400.0333333
{},1709722824,539869400.0333333
{},1709722825,539869400.0333333
{},1709722826,539869400.0333333
{},1709722827,539869400.0333333
{},1709722828,539869400.0333333
{},1709722829,539869400.0333333
{},1709722830,539869400.0333333
{},1709722831,539869400.0333333
{},1709722832,539869400.0333333
{},1709722833,539869400.0333333
{},1709722834,334175160.8333333
{},1709722835,334175160.8333333
{},1709722836,334175160.8333333
{},1709722837,334175160.8333333
{},1709722838,334175160.8333333
{},1709722839,334175160.8333333
{},1709722840,334175160.8333333
{},1709722841,334175160.8333333
{},1709722842,334175160.8333333
{},1709722843,334175160.8333333
{},1709722844,334175160.8333333
{},1709722845,334175160.8333333
{},1709722846,334175160.8333333
{},1709722847,334175160.8333333
{},1709722848,334175160.8333333
{},1709722849,334175160.8333333
{},1709722850,334175160.8333333
{},1709722851,334175160.8333333
{},1709722852,334175160.8333333
{},1709722853,334175160.8333333
{},1709722854,334175160.8333333
{},1709722855,334175160.8333333
{},1709722856,334175160.8333333
{},1709722857,334175160.8333333
{},1709722858,334175160.8333333
{},1709722859,334175160.8333333
{},1709722860,334175160.8333333
{},1709722861,334175160.8333333
{},1709722862,334175160.8333333
{},1709722863,334175160.8333333
{},1709722864,460589490.1333333
{},1709722865,460589490.1333333
{},1709722866,460589490.1333333
{},1709722867,460589490.1333333
{},1709722868,460589490.1333333
{},1709722869,460589490.1333333
{},1709722870,460589490.1333333
{},1709722871,460589490.1333333
{},1709722872,460589490.1333333
{},1709722873,460589490.1333333
{},1709722874,460589490.1333333
{},1709722875,460589490.1333333
{},1709722876,460589490.1333333
{},1709722877,460589490.1333333
{},1709722878,460589490.1333333
{},1709722879,460589490.1333333
{},1709722880,460589490.1333333
{},1709722881,460589490.1333333
{},1709722882,460589490.1333333
{},1709722883,460589490.1333333
{},1709722884,460589490.1333333
{},1709722885,460589490.1333333
{},1709722886,460589490.1333333
{},1709722887,460589490.1333333
{},1709722888,460589490.1333333
{},1709722889,460589490.1333333
{},1709722890,460589490.1333333
{},1709722891,460589490.1333333
{},1709722892,460589490.1333333
{},1709722893,460589490.1333333
{},1709722894,356319652
{},1709722895,356319652
{},1709722896,356319652
{},1709722897,356319652
{},1709722898,356319652
{},1709722899,356319652
{},1709722900,356319652
{},1709722901,356319652
{},1709722902,356319652
{},1709722903,356319652
{},1709722904,356319652
{},1709722905,356319652
{},1709722906,356319652
{},1709722907,356319652
{},1709722908,356319652
{},1709722909,356319652
{},1709722910,356319652
{},1709722911,356319652
{},1709722912,356319652
{},1709722913,356319652
{},1709722914,356319652
{},1709722915,356319652
{},1709722916,356319652
{},1709722917,356319652
{},1709722918,356319652
{},1709722919,356319652
{},1709722920,356319652
{},1709722921,356319652
{},1709722922,356319652
{},1709722923,356319652
{},1709722924,479100256.10853696
{},1709722925,479100256.10853696
{},1709722926,479100256.10853696
{},1709722927,479100256.10853696
