labels,timestamp,value
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002065011130,"$0;1708602002065011130;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643332;1708602002052925606;1708602002065009537;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002051327114,"$0;1708602002051327114;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643331;1708602002046131373;1708602002051325049;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002043893715,"$0;1708602002043893715;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643326;1708602001977298892;1708602002043891301;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002036919488,"$0;1708602002036919488;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643330;1708602002024147646;1708602002036917222;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002022360578,"$0;1708602002022360578;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643329;1708602002017667471;1708602002022357791;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002015105193,"$0;1708602002015105193;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643324;1708602001955524272;1708602002015102761;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602002005947909,"$0;1708602002005947909;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643328;1708602001993723668;1708602002005945284;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001992160179,"$0;1708602001992160179;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643327;1708602001987153109;1708602001992158407;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001985625367,"$0;1708602001985625367;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643319;1708602001915089038;1708602001985623598;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001975809325,"$0;1708602001975809325;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643325;1708602001962871057;1708602001975807091;teastore-webui-76644ffb9f-xgkfs;0;0"
